名稱,國家城市,服務性質,電話,負責人
台中榮美教會,台灣 - 台中市,教會,04-2426-2766,許恩溢
台灣信義會台中基督堂,台灣 - 台中市,教會,04-2287-4423,吳綺芬 牧師
財團法人基督教台灣信義會善牧堂,台灣 - 台南市,教會,06-237-8513、06-237-2761,吳至新 牧師
台灣信義會永生堂,台灣 - 台中市,教會,04-2202-2680,彭少雄 牧師
台灣信義會安樂福音堂,台灣 - 基隆市,教會,02-2431-2417,戴耀中 教師
台灣信義會板橋救恩堂,台灣 - 新北市,教會,02-2275-3005,王啟人 教師
台灣信義會信義堂,台灣 - 台北市,教會,02-2729-9580,曹正烜 牧師
台灣石門神的教會,台灣 - 屏東縣,教會,08-8831018,高金榮
台灣迎聖基督教會,台灣 - 台北市,教會,02-23655710,馬尚修
台灣信義會真光堂,台灣 - 新北市,教會,02-2961-5404,顏志憲 牧師
台灣信義會仁愛教會,台灣 - 高雄市,教會,07-841-0057,何一雄 傳道
台灣信義會北投佈道所,台灣 - 台北市,教會,02-2897-1438,林永成
財團法人基督教台灣信義會慕義堂,台灣 - 台中市,教會,04-2205-6797,于金堂 牧師
台灣信義會左營復活堂,台灣 - 高雄市,教會,07-587-9550、07-583-6894,汪素春 教師
台灣信義會永和聖恩堂,台灣 - 新北市,教會,02-2924-4304,王在康 教師
台灣信義會基隆和平堂,台灣 - 基隆市,教會,02-2462-6725,楊淑芳
台灣信義會松山福音堂,台灣 - 台北市,教會,02-2767-6469,范兆禧 傳道
台灣信義會後甲佈道所,台灣 - 台南市,教會,06-2354106,程榮美
台灣信義會高雄苓雅教會,台灣 - 高雄市,教會,07-281-1291,陳永彬 教師
台灣信義會烏日聖光堂,台灣 - 台中市,教會,04-2336-2932,彭台鳳 牧師
台灣信義會真道堂,台灣 - 台中市,教會,04-2233-6783、04-2233-8933,簡俊澤 牧師
台灣信義會救主堂,台灣 - 台南市,教會,06-236-8401,劉昌國 牧師
台灣信義會土城聖潔堂,台灣 - 新北市,教會,02-2268-2218,杜振發 牧師
台灣信義會景美慈恩堂,台灣 - 台北市,教會,02-2931-3515,楊明賢
台灣信義會嘉南教會,台灣 - 嘉義市,教會,05-227-2549,巫傳基 牧師
台灣信義會蒙恩堂,台灣 - 台北市,教會,02-2570-0564,楊惇皓 牧師
台灣信義會鳳山感恩堂,台灣 - 高雄市,教會,07-747-9595、07-743-9595,孫振明 牧師
台灣信義會前鎮教會,台灣 - 高雄市,教會,"07-331-4409, 07-331-2459",陳怡良 牧師
財團法人基督教台灣信義會後勁教會,台灣 - 高雄市,教會,07-364-1183、07-362-4946,陳一榮
台灣信義會家家歌珊堂,台灣 - 台北市,教會,"02-2230-8169, 02-2230-8011",麥光珪  牧師
台灣信義會台北真理堂,台灣 - 台北市,教會,02-2363-2096,楊寧亞 牧師
台灣信義會基隆福音堂,台灣 - 基隆市,教會,02-2422-2704,陳啓能 牧師
基督教台灣信義會救恩堂,台灣 - 台北市,教會,"02-2396-0737, 02-2321-6988",鄭信弘 傳道
台灣信義會陽明山錫安堂,台灣 - 台北市,教會,02-2861-2140,方勇 教師
台灣信義會溪口佈道所,台灣 - 嘉義縣,教會,05-269-4106,
台灣信義會嘉義榮光堂,台灣 - 嘉義市,教會,05-277-3015,林明政 牧師
台灣信義會鳳山基督堂,台灣 - 高雄市,教會,07-746-5192,宋偉國 牧師
台灣信義會靈糧堂,台灣 - 台南市,教會,06-313-3100,吳至新 牧師
湖光基督教會,台灣 - 台北市,教會,02-2797-1000,文亮
台灣神的教會新光教會,台灣 - 新北市,教會,02-2257-0816,梁雅各 傳道
基督教台灣福音會內壢福音會,台灣 - 桃園市,教會,03-455-1676,張志凱 牧師
基督教台灣福音會迪化街教會,台灣 - 台北市,教會,02-2597-0684,程澄浦
台灣基督教曠野光山教會,台灣 - 南投縣,教會,049-274-1510,全文孝
貴格會大坪林教會,台灣 - 新北市,教會,02-2911-7316,李國源 牧師
基督教台灣貴格會台中北屯教會,台灣 - 台中市,教會,04-2231-9915,林和明 牧師
貴格會圳頭里教會,台灣 - 嘉義市,教會,05-276-0439,李寶順 牧師
貴格會南勢角教會,台灣 - 新北市,教會,02-2943-1351,張國光 牧師
台灣信義會雙福教會,台灣 - 嘉義縣,教會,05-220-1764,陳俊光 牧師
財團法人基督教晨曦會,台灣 - 新北市,社會關懷,"02-2927-0010,02-2231-7744",劉民和 牧師
台灣神的教會佳美堂,台灣 - 台北市,教會,02-2508-3556,羅傑祥 傳道
台灣基督教巴瑪但宣教會台東教會,台灣 - 台東縣,教會,089-336305,鄭正輝
基督教台灣福音會永和教會,台灣 - 新北市,教會,02-2921-9183,李定一 牧師
財團法人基督教台灣福音會鼓山福音會,台灣 - 高雄市,教會,07-551-1637,玄惠煜 牧師
台灣復興神的教會,台灣 - 台北市,教會,02-2578-7480,歐伯英 牧師
貴格會大直教會,台灣 - 台北市,教會,02-2532-0737,雷建宇 牧師
台灣貴格會正安教會,台灣 - 新北市,教會,02-2991-6228,廖學組 牧師
貴格會東園教會,台灣 - 台北市,教會,02-2301-4684,江志堅 牧師
台灣貴格會國光教會,台灣 - 新北市,教會,02-2969-4665,戴坤益 牧師
台灣福音會新興教會,台灣 - 高雄市,教會,07-551-4755,蔡堅仁
台灣基督長老教會四湖教會,台灣 - 雲林縣,教會,05-787-7841,
台灣基督長老教會左東教會,台灣 - 高雄市,教會,07-343-3570,劉天文 牧師
台灣基督長老教會左營教會,台灣 - 高雄市,教會,07-582-1894,陳明志 牧師
左營聖徒教會,台灣 - 高雄市,教會,07-581-2284,何保羅
台灣基督長老教會布袋教會,台灣 - 嘉義縣,教會,05-347-2403,李雨儒 傳道師
台灣基督長老教會莎都教會,台灣 - 南投縣,教會,049-297-0840,娃旦巴萬 傳道師
平安聖經浸禮教會,台灣 - 高雄市,教會,07-225-7806,堺秀一 牧師
台灣基督長老教會比悠瑪教會,台灣 - 屏東縣,教會,08-785-0044,傅梅花 牧師
貴格會恩光堂,台灣 - 台北市,教會,02-2307-8850,陳高洗明
台灣貴格會圓山教會,台灣 - 台北市,教會,02-2592-1204,
台灣基督長老教會四季教會,台灣 - 宜蘭縣,教會,03-980-8433,江明清 牧師
台灣基督長老教會四結教會,台灣 - 宜蘭縣,教會,03-954-5710,楊家麟 牧師
左營油廠基督教會,台灣 - 高雄市,教會,07-363-5078,陳傳協 長老
左營國語禮拜堂,台灣 - 高雄市,教會,07-581-1697,
台灣基督長老教會左鎮教會,台灣 - 台南市,教會,06-573-1076,蘇啟瑞 牧師
台灣基督長老教會平山教會,台灣 - 屏東縣,教會,08-738-7092,田聖恩 傳道師
平安浸信會,台灣 - 台北市,教會,02-2304-1880,
台灣基督長老教會平和教會,台灣 - 台中市,教會,04-2293-3697,廖鴻榮 牧師
台灣基督長老教會都達教會,台灣 - 南投縣,教會,049-297-0429,田天助 牧師
平鎮活石基督教會,台灣 - 桃園市,教會,"03-491-3062, 03-459-1117, 0952-426-070","劉清君, 曾月里"
平鎮崇真堂,台灣 - 桃園市,教會,03-469-7543,溫永生 牧師
台灣基督長老教會正義教會,台灣 - 高雄市,教會,07-749-4657,葉雅娜 牧師
台灣基督長老教會正興教會,台灣 - 台東縣,教會,089-334-737,陳玉美 傳道師
台灣基督長老教會民生教會（南布）,台灣 - 高雄市,教會,07-670-1191,江慧敏 傳道師
民生浸信會,台灣 - 嘉義縣,教會,05-235-2447,林朝富 牧師
台灣基督長老教會陶樸閣教會,台灣 - 花蓮縣,教會,03-861-2475,陳金玉 牧師
台灣基督長老教會民和教會,台灣 - 屏東縣,教會,08-722-4541,李明川
台灣基督長老教會民族教會（壽中）,台灣 - 高雄市,教會,07-236-1353,劉主恩 牧師
台灣基督長老教會平農教會,台灣 - 桃園市,教會,03-469-3055,胡萬成 牧師
台灣基督長老教會平鎮教會,台灣 - 桃園市,教會,03-469-2740,趙慧芳 傳道師
財團法人中華基督教平鎮浸信會,台灣 - 桃園市,教會,"03-492-0146, 03-492-0201, 03-492-9978",黃炯榕 牧師
台灣基督長老教會正忠教會,台灣 - 高雄市,教會,07-389-6516,陳萌祿 牧師
正義浸信會,台灣 - 台北市,教會,02-2741-3314,王振亞 牧師
台灣基督長老教會正濱教會,台灣 - 基隆市,教會,02-2462-1333,吳麗雲 牧師
台灣基督長老教會民生教會,台灣 - 台北市,教會,02-2541-7600,孫牧聲 牧師
台灣基督長老教會民安教會,台灣 - 新北市,教會,02-2201-0824,張世昌 牧師
台灣基督長老教會民享教會,台灣 - 新北市,教會,02-8953-1290,李新發 牧師
台灣基督長老教會民族教會（南布）,台灣 - 高雄市,教會,07-670-1131,阿妮嘎‧芭菈菈菲 牧師
台灣基督長老教會民族路教會（南中）,台灣 - 台南市,教會,06-222-0048,机嘉勝 牧師
台灣基督長老教會民雄教會,台灣 - 嘉義縣,教會,05-226-2134,黃智鴻 牧師
台灣基督長老教會民權教會（南布）,台灣 - 高雄市,教會,07-670-1393,
永生神的家,台灣 - 台北市,教會,02-2368-1658,翁歐東 牧師
台灣基督長老教會永光教會,台灣 - 新北市,教會,02-2941-8353,周信榮 牧師
台灣基督長老教會永吉教會,台灣 - 台北市,教會,02-2723-8578,陳宇光 牧師
台灣基督長老教會永安教會,台灣 - 高雄市,教會,07-691-2324,許月燦 牧師
永和加略山神召會,台灣 - 新北市,教會,02-2407591,
永和浸信會,台灣 - 新北市,教會,02-2923-5705,陳怡怜 傳道
基督教永和教會,台灣 - 新北市,教會,02-2920-5542,
台灣基督長老教會民族路教會（中中）,台灣 - 台中市,教會,04-2222-7683,蘇國欽 牧師
基督教民富教會,台灣 - 屏東縣,教會,08-738-1180,黃玉治
台灣基督長老教會民權教會（北中）,台灣 - 新北市,教會,02-2915-6961,許瑞政 牧師
台灣基督長老教會永生教會,台灣 - 高雄市,教會,07-711-0444,包康平 傳道師
永生神的教會,台灣 - 新北市,教會,02-2249-0381,謝玉 牧師
台灣基督長老教會永光教會,台灣 - 雲林縣,教會,05-582-5148,蕭敏風 牧師
台灣基督長老教會永安教會,台灣 - 台北市,教會,02-2768-9090,陳偉立 傳道師
永安街美好基督教會,台灣 - 台南市,教會,06-2657731,周玉玲
台灣基督長老教會永和教會,台灣 - 新北市,教會,02-2921-6289,劉潤萍 牧師
永和國語禮拜堂,台灣 - 新北市,教會,02-2928-2876,林命伊 牧師
永和聖教會,台灣 - 新北市,教會,02-2924-3132,周匡威 牧師
台灣基督長老教會永美教會,台灣 - 桃園市,教會,0989-755-118,黃精勇 牧師
台灣基督長老教會永康教會（南中）,台灣 - 台南市,教會,06-232-3321,林敬道 牧師
台灣基督長老教會永新教會,台灣 - 高雄市,教會,07-342-0093,黃奎翰 牧師
台灣基督長老教會永福教會（東美）,台灣 - 台東縣,教會,089-831-526,
台灣基督長老教會永福教會（彰中）,台灣 - 彰化縣,教會,04-729-0322,王進財 牧師
台灣基督長老教會永樂教會,台灣 - 台南市,教會,06-229-5008,楊弘達 牧師
台灣基督長老教會永興教會,台灣 - 高雄市,教會,07-660-1755,李興穀 牧師
台灣基督長老教會玉井教會,台灣 - 台南市,教會,06-574-4654,張文明 牧師
玉成浸信會,台灣 - 台北市,教會,02-2785-4146,李馬環 牧師
永和新生堂,台灣 - 新北市,教會,02-2921-7849,
台灣基督長老教會永春教會,台灣 - 宜蘭縣,教會,03-996-4577,
台灣基督長老教會永康教會（布中）,台灣 - 台東縣,教會,089-552-433,洪美愛 傳道師
衛理公會南工衛理中心,台灣 - 台南市,教會,06-232-5802,劉自潔 牧師
台灣基督長老教會永靖教會,台灣 - 彰化縣,教會,04-822-0312,
台灣基督長老教會永福教會（南中）,台灣 - 台南市,教會,06-228-0777,王受祿 傳道
台北市永樂基督長老教會,台灣 - 台北市,教會,02-2752-3422,呂秉衡 牧師
永樂教會,台灣 - 桃園市,教會,03-322-4461,尹俊敏
台灣基督長老教會玉山教會,台灣 - 花蓮縣,教會,03-888-2627,黃明宗 傳道
台灣基督長老教會玉成教會,台灣 - 台北市,教會,02-2785-6877,呂哲敏 牧師
玉里療養院基督教福音事工,台灣 - 花蓮縣,教會,03-888-2643,楊培福
台灣基督長老教會玉泉教會,台灣 - 屏東縣,教會,08-799-1593,賴朝財 牧師
台灣基督長老教會田埔教會（美中）,台灣 - 花蓮縣,教會,03-852-7156,
基督教救恩會田寮教會,台灣 - 高雄市,教會,07-362-4445,謝瑞顏
台灣基督長老教會甲圍教會,台灣 - 高雄市,教會,07-611-8098,
台灣基督長老教會白沙教會（高中）,台灣 - 澎湖縣,教會,06-993-1137,柯正峰 牧師
台灣基督長老教會白河教會,台灣 - 台南市,教會,06-685-2651,林信豪 牧師
台灣基督長老教會石山教會,台灣 - 台東縣,教會,089-225-801,
台灣基督長老教會光春教會,台灣 - 屏東縣,教會,08-789-1570,張簡信裕 牧師
財團法人台灣省台中市霧峰光復基督教會,台灣 - 台中市,教會,04-2333-8202,
台灣基督長老教會玉里教會,台灣 - 花蓮縣,教會,03-888-7871,黃瑞成 牧師
中華基督教浸信會玉里懷恩堂,台灣 - 花蓮縣,教會,"03-888-7049, 0933-061-481",蘇振泰 傳道
台灣基督長老教會田中教會,台灣 - 彰化縣,教會,04-874-2310,劉俊宏 牧師
台灣基督長老教會田埔教會,台灣 - 新竹縣,教會,03-584-7816,黃志宏 牧師
台灣基督長老教會甲仙教會,台灣 - 高雄市,教會,07-675-1154,
台灣基督長老教會白水溪教會,台灣 - 台南市,教會,06-685-4846,吳樂昌 傳道
台灣基督長老教會白沙教會（彰中）,台灣 - 彰化縣,教會,04-787-0253,布瓦垎·伊幸高楠 牧師
台灣基督長老教會八桑安教會,台灣 - 台東縣,教會,089-801-458,
台灣基督長老教會光和教會,台灣 - 台南市,教會,06-573-2215,鄭穎靜 牧師
光復神召會,台灣 - 花蓮縣,教會,03-870-3855,鄭旺財
台灣基督長老教會光華教會（嘉中）,台灣 - 嘉義縣,教會,05-256-1725,劉耀義 牧師
台灣基督長老教會光輝教會,台灣 - 桃園市,教會,03-382-1205,阿慕恩．達邦 牧師
台灣基督長老教會光鹽教會,台灣 - 高雄市,教會,07-354-3813,蔡詠信 牧師
印尼伯特利教會台灣分會台北分堂,台灣 - 台北市,教會,0976-338-305,Yoseph
台灣基督長老教會吉拉卡樣教會,台灣 - 花蓮縣,教會,03-874-1008,
各各他浸信會,台灣 - 台北市,教會,02-2831-3458,侯理樂 牧師
向上聖教會,台灣 - 台中市,教會,04-2473-8692,賴妙冠 牧師
台灣基督長老教會向榮教會,台灣 - 台中市,教會,04-2320-2008,鄭凱佳 牧師
合一浸信會,台灣 - 台中市,教會,04-2483-6114,
台灣基督長老教會后里教會,台灣 - 台中市,教會,04-2557-1590,李信慧 牧師
台灣基督長老教會光華教會,台灣 - 高雄市,教會,07-716-2231,周恩德 牧師
光榮聖教會,台灣 - 花蓮縣,教會,03-836-1430,陳秋玉 牧師
台灣基督長老教會光濱教會,台灣 - 花蓮縣,教會,03-879-1436,
印尼伯特利教會台灣約但河堂,台灣 - 桃園市,教會,03-439-0766,葉逸豪 牧師
台灣基督長老教會斯達岸教會,台灣 - 花蓮縣,教會,03-853-5942,曾金一 牧師
台灣基督長老教會吉峰教會,台灣 - 台中市,教會,04-2333-3720,周志亨 牧師
台灣基督長老教會向上教會,台灣 - 台中市,教會,04-2302-0140,戴碩欽 牧師
台灣基督長老教會向陽教會,台灣 - 彰化縣,教會,04-751-0933,李哲緯 牧師
台灣基督長老教會名山教會,台灣 - 台北市,教會,02-2831-9182,林海峰 牧師
台灣基督長老教會合興教會,台灣 - 彰化縣,教會,04-892-2240,劉於山 牧師
台灣基督長老教會多良教會,台灣 - 台東縣,教會,089-77-1521,王成良 牧師
台灣基督長老教會好茶教會,台灣 - 屏東縣,教會,08-799-7008,洪玉虹 牧師
台灣基督長老教會安生教會,台灣 - 高雄市,教會,"07-322-3070, 07-322-3478, 07-311-9343",周主典 牧師
台灣基督長老教會安坑教會,台灣 - 新北市,教會,02-8666-3864,王啟讚 牧師
台灣基督長老教會安坡教會,台灣 - 屏東縣,教會,08-795-7117,旮日阿咿嵐‧拉勒俄郎(毛俊傑) 牧師
台灣基督長老教會安南教會,台灣 - 台南市,教會,06-256-7535,謝黛莉 傳道師
台灣基督長老教會安通教會,台灣 - 花蓮縣,教會,03-888-1618,
台灣基督長老教會安樂教會,台灣 - 基隆市,教會,02-2422-5623,林信明 牧師
台灣基督長老教會安瀾橋教會,台灣 - 基隆市,教會,02-2462-5160,連嫣嫣 牧師
台灣基督長老教會成功教會（北中）,台灣 - 新北市,教會,02-8282-3442,羅瑞煌 牧師
台灣基督長老教會圳頭坑教會,台灣 - 雲林縣,教會,05-526-2510,趙學智 傳道師
台灣基督長老教會多納教會,台灣 - 高雄市,教會,07-680-1927,鍾思錦 牧師
台灣基督長老教會安平教會,台灣 - 台南市,教會,06-227-1621,藍婉今 牧師
台灣基督長老教會安光教會,台灣 - 新北市,教會,02-2212-6440,王效忠 牧師
台灣基督長老教會安和教會,台灣 - 台北市,教會,02-2705-5013,鐘迦南 牧師
台灣基督長老教會安定教會,台灣 - 台南市,教會,06-592-2615,宋元信 牧師
安康浸信會,台灣 - 新北市,教會,02-2211-6182,黃啟芳 傳道
台灣基督長老教會安順教會,台灣 - 台南市,教會,06-256-0235,李頌恩 牧師
安樂聖教會,台灣 - 台南市,教會,06-213-4646,廖偉俐昇 牧師
尖山神召會,台灣 - 苗栗縣,教會,037-61-2056,高信永 牧師
成功神召會（台召）,台灣 - 台東縣,教會,089-32-9316,陳摩西
台灣基督長老教會旭海教會,台灣 - 屏東縣,教會,08-883-0257,顏順義 傳道師
朴子浸禮聖經會,台灣 - 嘉義縣,教會,05-379-8324,江信誠 牧師
台灣基督長老教會竹北教會,台灣 - 新竹縣,教會,03-555-3706,林坤麟 牧師
台灣基督長老教會竹田教會,台灣 - 屏東縣,教會,08-771-0541,蘇頌榮 牧師
竹東五福禮拜堂,台灣 - 新竹縣,教會,03-5940104,賴傳榮
台灣基督長老教會竹門教會,台灣 - 高雄市,教會,07-371-1435,曾安毅 牧師
苗栗縣中華基督教竹南浸信會,台灣 - 苗栗縣,教會,037-46-0650,裴仲民 傳道
竹南聖教會,台灣 - 苗栗縣,教會,037-46-9040,黃銀成 牧師
台灣基督長老教會竹塘教會,台灣 - 彰化縣,教會,04-897-2503,莊孝盛 牧師
台灣基督長老教會成功教會（東美）,台灣 - 台東縣,教會,089-852-770,郭清鳳 牧師
財團法人台南市基督成功教會,台灣 - 台南市,教會,06-358-2536,鍾平貴 牧師
台灣基督長老教會朴子教會,台灣 - 嘉義縣,教會,05-379-2615,陳信昌 牧師
台灣基督長老教會竹仔腳教會,台灣 - 屏東縣,教會,08-875-1294,
竹北聖教會,台灣 - 新竹縣,教會,03-555-3092,陳雲明 牧師
竹村長老教會,台灣 - 花蓮縣,教會,03-8691203,戴秋貴
台灣基督長老教會竹東教會,台灣 - 新竹縣,教會,03-596-9126,何碧安 牧師
台灣基督長老教會竹南教會,台灣 - 苗栗縣,教會,037-46-1553,朱錫東 牧師
竹南神召會,台灣 - 苗栗縣,教會,037-47-2543,
台灣基督長老教會竹圍教會,台灣 - 新北市,教會,02-2809-8541,莊恩中 牧師
台灣基督長老教會自由教會,台灣 - 高雄市,教會,07-556-8434,陳約翰 牧師
台灣基督長老教會自強教會,台灣 - 花蓮縣,教會,03-887-5138,張翠美 傳道師
行道會西湖平安堂,台灣 - 苗栗縣,教會,037-92-0466,鄭雅霙
台灣基督長老教會西屯教會,台灣 - 台中市,教會,04-2451-6542,張仁和 牧師
西屯聖教會,台灣 - 台中市,教會,04-2314-4353,汪冬和
台灣基督長老教會西門教會,台灣 - 台南市,教會,06-222-7840,黃錫勛 牧師
台灣基督長老教會西港教會,台灣 - 台南市,教會,06-795-1615,張德慶 牧師
台灣基督長老教會西湖教會,台灣 - 台北市,教會,"02-2799-5227, 02-2797-3515",戴乃臣 牧師
台灣基督長老教會西嶼教會,台灣 - 澎湖縣,教會,06-998-2471,賴志泓 牧師
四方教會西螺教會,台灣 - 雲林縣,教會,05-586-8683,林俊才
台灣基督長老教會米亞丸教會,台灣 - 花蓮縣,教會,03-864-1353,西給．哩夯 傳道師
自立長老會新北投教會,台灣 - 台北市,教會,02-2891-4616,江萬里
大地行道會,台灣 - 新北市,教會,02-2210-1099,張桃興 傳道
西屯行道會,台灣 - 台中市,教會,04-2451-4409,
西屯家教會,台灣 - 台中市,教會,04-3582787,高玲娟
台灣基督長老教會西林教會,台灣 - 花蓮縣,教會,03-877-1903,張永晃 牧師
西門聖教會,台灣 - 新竹市,教會,03-525-1511,黃慶隆 牧師
西港聖教會,台灣 - 台南市,教會,06-795-2042,
台灣基督長老教會西園教會,台灣 - 台北市,教會,02-2305-0041,許昭雄 牧師
台灣基督長老教會西螺教會,台灣 - 雲林縣,教會,05-586-2086,杜謙遜 牧師
伯特利教會,台灣 - 高雄市,教會,,
台灣基督長老教會利伽奉教會,台灣 - 台東縣,教會,0928-101-025,李美慧 牧師
台灣基督長老教會利稻教會,台灣 - 台東縣,教會,089-938022,卡法司 牧師
台灣基督長老教會努呼路瑪教會,台灣 - 苗栗縣,教會,037-96-2300,雅福．夏德 牧師
台灣基督長老教會呂福教會,台灣 - 花蓮縣,教會,03-885-1976,乙栗‧法腊哈 傳道師
台灣基督長老教會志學教會,台灣 - 花蓮縣,教會,03-866-2931,陳克杕 牧師
改革宗長老會聯合二村教會,台灣 - 台北市,教會,02-2763-8304,史弘揚 牧師
改革宗長老會中壢教會,台灣 - 桃園市,教會,03-458-5326,李齊廣 牧師
台北韓人讚揚教會,台灣 - 台北市,教會,02-2872-3882,李丞鏞
改革宗長老會永中教會,台灣 - 台北市,教會,02-2934-6777,
伯大尼禮拜堂,台灣 - 台北市,教會,02-2936-2702,姜仁圭 傳道
台灣基督長老教會利吉教會,台灣 - 台東縣,教會,089-23-6515,
台灣基督長老教會利華教會,台灣 - 花蓮縣,教會,03-875-1349,邱美珠 牧師
台灣基督長老教會利澤簡教會,台灣 - 宜蘭縣,教會,03-950-4615,張仁理 牧師
台灣基督長老教會吳興教會,台灣 - 台北市,教會,02-2720-4924,郭鐘霖 牧師
台灣基督長老教會宏恩教會,台灣 - 桃園市,教會,03-356-2527,林柏壽 牧師
我願意基督教會,台灣 - 台北市,教會,02-2782-6248,李麗華 牧師
改革宗長老會士光教會,台灣 - 台北市,教會,02-28338079,
拿撒勒人會下蘇樂教會,台灣 - 桃園市,教會,03-391-2552,金泰中 牧師
財團法人台灣省新竹市基督教改革宗長老會民族路教會,台灣 - 新竹市,教會,03-532-0567,廖元成 牧師
財團法人台灣省新北市基督教改革宗長老會永新教會,台灣 - 新北市,教會,02-2942-6015,閻建民
改革宗長老會伯特利堂,台灣 - 桃園市,教會,03-381-1065,金文彬 牧師
改革宗長老會東光教會,台灣 - 台北市,教會,02-2631-9515,林致騏 牧師
改革宗長老會花園教會,台灣 - 新竹縣,教會,03-585-1371,
改革宗長老會信安教會,台灣 - 台北市,教會,02-2733-8891,
改革宗長老會南港教會,台灣 - 台北市,教會,02-2782-7892,楊于民 傳道
改革宗長老會桃園教會,台灣 - 桃園市,教會,03-325-3505,
改革宗長老會新竹教會,台灣 - 新竹市,教會,03-542-0674,陳正弘 牧師
台灣基督長老教會更生教會,台灣 - 台東縣,教會,"089-310-375, 089-32-3481",劉世春 牧師
淡水磐石家庭教會,台灣 - 新北市,教會,02-2626-3026,江培元
改革宗長老會永春教會,台灣 - 宜蘭縣,教會,03-9960513,
改革宗長老會竹東教會,台灣 - 新竹縣,教會,03-596-4821,鄒仁裕 牧師
改革宗長老會忠孝教會,台灣 - 台北市,教會,02-8785-3982,李志鴻 牧師
基督教改革宗長老會松山教會,台灣 - 台北市,教會,02-2722-4930,蔡恩賜 牧師
改革宗長老會信生教會,台灣 - 新北市,教會,02-2972-7573,羅金山 牧師
改革宗長老會信愛教會,台灣 - 高雄市,教會,07-334-0356,呂安靜
改革宗長老會恆愛堂,台灣 - 新北市,教會,02-2984-8060,郭鳳卓 牧師
改革宗長老會富光教會,台灣 - 花蓮縣,教會,03-881-1274,李志鴻 牧師
改革宗長老會新店教會,台灣 - 新北市,教會,02-2911-9822,成仁 牧師
淡水基督教會,台灣 - 新北市,教會,02-2809-0376,呂代豪 牧師
台灣基督長老教會淡農教會,台灣 - 新北市,教會,02-2801-1149,劉彼得 牧師
台灣基督長老教會清水教會（中中）,台灣 - 台中市,教會,04-2622-2815,陳恩傑 牧師
清水台福基督教會福音中心,台灣 - 台中市,教會,04-2623-1177,姚榮輝 牧師
清溪基督教會,台灣 - 台東縣,教會,,陳建榮
台灣基督長老教會深坑教會,台灣 - 新北市,教會,02-2664-1853,李玫莉 牧師
深坑錫安堂,台灣 - 新北市,教會,02-2662-0590,戴默麗
台灣基督長老教會第一教會,台灣 - 台北市,教會,02-2507-4559,
台灣基督長老教會莒光教會,台灣 - 高雄市,教會,07-361-2593,鄭吉富 牧師
台灣基督長老教會通霄教會,台灣 - 苗栗縣,教會,037-75-7713,鄭仁和 牧師
台灣基督長老教會都歷教會,台灣 - 台東縣,教會,089-841-773,一萬．星(Iwan SING) 牧師
淡水讚美基督教會,台灣 - 新北市,教會,02-2625-1360,吳彥德 傳道
台灣基督長老教會清山教會,台灣 - 台中市,教會,04-2516-0438,伍哲聲 傳道師
台灣基督長老教會清水教會（布中）,台灣 - 花蓮縣,教會,03-880-1201,顏美大 傳道
台灣基督長老教會清溪教會,台灣 - 花蓮縣,教會,03-877-1461,吳政義 牧師
深水福氣教會,台灣 - 高雄市,教會,07-615-2684,薛慧真 傳道
財團法人新北市活石基督教會,台灣 - 新北市,教會,02-2664-1613,邱智豪 牧師
基督教理想國浸信會,台灣 - 台中市,教會,04-2631-7821,
台灣基督長老教會細道邦教會,台灣 - 苗栗縣,教會,037-99-4160,羅信．尤敏 牧師
財團法人基督教莒光教會,台灣 - 新北市,教會,02-2951-5967,王屏基 牧師
台灣基督長老教會都信教會,台灣 - 花蓮縣,教會,03-834-9781,尤浦．西給 傳道師
台灣基督長老教會都蘭教會,台灣 - 台東縣,教會,089-53-1214,吳成功 牧師
名間靈糧堂,台灣 - 南投縣,教會,049-273-8239,林進泰 牧師
台灣基督長老教會小馬教會,台灣 - 台東縣,教會,089-896-631,
台灣基督長老教會小港教會（高中）,台灣 - 高雄市,教會,07-822-8753,吳典林 牧師
鎮海小港教會,台灣 - 高雄市,教會,"07-821-5716, 0915-711-399",洪玉月 傳道
山下長老教會（美中）,台灣 - 花蓮縣,教會,038-851039,
金門山外基督教會,台灣 - 金門縣,教會,082-33-3174,李恩耀
台灣基督長老教會山光教會,台灣 - 台中市,教會,04-2566-4553,旯日阿咿嵐．拉勒俄郎 牧師
台灣基督長老教會山美教會,台灣 - 基隆市,教會,02-2469-3826,柯伊．諾拉賓 牧師
台灣基督長老教會山腳教會,台灣 - 苗栗縣,教會,037-74-4212,陳品榮 牧師
台灣基督長老教會都興教會,台灣 - 台東縣,教會,089-53-1996,
台灣基督長老教會野銀教會,台灣 - 台東縣,教會,089-73-2980,周定頌 牧師
小大湳福音堂,台灣 - 桃園市,教會,03-361-7927,葉澄鑾 傳道
台灣基督長老教會小港教會（東美）,台灣 - 台東縣,教會,089-871-719,梁信銘 傳道師
小港浸信教會,台灣 - 高雄市,教會,07-803-7177,蘇承恩
台灣基督長老教會台中小鎮教會,台灣 - 台中市,教會,04-2276-1648,林裕川 傳道師
台灣基督長老教會山上教會,台灣 - 台南市,教會,06-578-1784,
台灣基督長老教會山光教會,台灣 - 新竹縣,教會,03-597-1644,賴安淋 牧師
台灣基督長老教會山城教會,台灣 - 苗栗縣,教會,03-733-4471、03-595-8535,臨沐沂·台旺 傳道師
