醫療機構名稱,地址,電話,垂直整合策略聯盟/主責醫事機構,終止合約或歇業日期
安泰醫療社團法人安泰醫院,屏東縣東港鎮興東里中正路一段210號,08-8329966,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院成大醫院-成大轉診合作院所/國立成功大學醫學院附設醫院高榮與高屏地區基層分級醫療合作聯/高雄榮民總醫院高長_高雄長庚醫師聯誼會/長庚醫療財團法人高雄長庚紀念醫院高長_策略聯盟合作醫院/長庚醫療財團法人高雄長庚紀念醫院屏基基層醫療分級醫療策略聯盟/屏基醫療財團法人屏東基督教醫院國軍左營_環台醫療策略聯盟/國軍高雄總醫院左營分院附設民眾診療服務處小港醫院策略聯盟/高雄市立小港醫院（委託財團法人私立高雄醫學大學經營）安泰醫療社策略聯盟/安泰醫療社團法人安泰醫院,
揚銘眼科診所,台中市西屯區西屯路3段146－5號1樓,04-24620086,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院澄清中港分院合作聯盟/澄清綜合醫院中港分院,
福科診所,台中市西屯區西屯路3段166-31號1、2樓,04-24615768,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院澄清中港分院合作聯盟/澄清綜合醫院中港分院,
陳永忠小兒科診所,台中市西屯區西屯路三段159–68號,04-24619339,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院澄清中港分院合作聯盟/澄清綜合醫院中港分院,
黃儒聲診所,台中市西屯區福上巷214號,04-24518742,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院澄清中港分院合作聯盟/澄清綜合醫院中港分院,
長泓診所,台中市西屯區福安里中工三路65號,04-23582866,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院澄清中港分院合作聯盟/澄清綜合醫院中港分院,
何茂霖小兒科診所,台中市西屯區福星路二之1號1樓,04-24528833,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院澄清中港分院合作聯盟/澄清綜合醫院中港分院,
理想家小兒科診所,台中市西屯區福雅路73號1樓,04-24618096,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院澄清中港分院合作聯盟/澄清綜合醫院中港分院,
全家家庭醫學科診所,臺中市西屯區成都路219號1樓,04-23172989,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院澄清中港分院合作聯盟/澄清綜合醫院中港分院,
臺中市西屯區衛生所,臺中市西屯區西安里西屯路二段299號,04-27027068,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院澄清中港分院合作聯盟/澄清綜合醫院中港分院,
臺中市龍井區衛生所,臺中市龍井區竹坑里沙田路4段243號,04-26352228,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院澄清中港分院合作聯盟/澄清綜合醫院中港分院,
陳俊良診所,台中市龍井區沙田路5段129號1樓,04-26364498,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院澄清綜合醫院合作聯盟/澄清綜合醫院,
吳英滄診所,南投縣草屯鎮太平路2段93、95號1樓,049-2326989,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院澄清綜合醫院合作聯盟/澄清綜合醫院,
嘉信眼科診所,南投縣草屯鎮新厝里太平路2段178號,049-2323238,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院澄清綜合醫院合作聯盟/澄清綜合醫院,
仕進診所,臺中市北區中清路一段462號1樓,04-22080105,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院澄清綜合醫院合作聯盟/澄清綜合醫院,
安麗小兒科內科診所,南投縣埔里鎮中山路二段262號,049-2991030,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院埔里基督教醫院合作聯盟/埔基醫療財團法人埔里基督教醫院,
楊繼雄內科診所,台中市霧峰區大同路1號,04-23393135,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院大里仁愛醫院合作聯盟/仁愛醫療財團法人大里仁愛醫院,
安興診所,臺中市太平區興隆路一段248號1樓,04-22705412,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院大里仁愛醫院合作聯盟/仁愛醫療財團法人大里仁愛醫院,
佳音診所,臺中市后里區甲后路一段400號1樓,04-25573268,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院台中慈濟醫院合作聯盟/佛教慈濟醫療財團法人台中慈濟醫院,
林佳輝診所,台中市清水區中正街19號1樓,04-26233955,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院童綜合醫院合作聯盟/童綜合醫療社團法人童綜合醫院,
清水王眼科診所,台中市清水區南寧里中山路126－1號,04-26235868,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院童綜合醫院合作聯盟/童綜合醫療社團法人童綜合醫院,
臺中市沙鹿區衛生所,臺中市沙鹿區洛泉里文昌路20號,04-26625040,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院童綜合醫院合作聯盟/童綜合醫療社團法人童綜合醫院,
臺中市梧棲區衛生所,臺中市梧棲區雲集街70巷3號,04-26562809,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院童綜合醫院合作聯盟/童綜合醫療社團法人童綜合醫院,
臺中市清水區衛生所,臺中市清水區中山路92號,04-26222639,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院童綜合醫院合作聯盟/童綜合醫療社團法人童綜合醫院,
大度診所,台中市大肚區沙田路二段621號,04-26993637,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院光田綜合醫院合作聯盟/光田醫療社團法人光田綜合醫院,
佛教慈濟醫療財團法人台中慈濟醫院,台中市潭子區豐興路1段66、88號,04-36060666,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院草屯療養院合作聯盟/衛生福利部草屯療養院台中慈濟醫院合作聯盟/佛教慈濟醫療財團法人台中慈濟醫院,
邱哲煌皮膚科診所,南投縣草屯鎮中正路771號,049-2322897,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院草屯療養院合作聯盟/衛生福利部草屯療養院,
戴偉竣皮膚科診所,南投縣草屯鎮和平街31號1樓,049-2330332,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院草屯療養院合作聯盟/衛生福利部草屯療養院,
現代眼科診所,南投縣草屯鎮炎峰里中正路602–1號,049-2327707,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院草屯療養院合作聯盟/衛生福利部草屯療養院,
聖欣診所,彰化縣田中鎮西路里中正路415號,04-8753706,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院彰化醫院合作聯盟/衛生福利部彰化醫院,
中英診所,彰化縣田中鎮南路里員集路2段342號,04-8762021,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院彰化醫院合作聯盟/衛生福利部彰化醫院,
彰化縣田尾鄉衛生所,彰化縣田尾鄉饒平村光復路2段608號,04-8832145,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院彰化醫院合作聯盟/衛生福利部彰化醫院,
張景仁診所,彰化縣社頭鄉仁雅村社斗路一段279號,04-8725879,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院彰化醫院合作聯盟/衛生福利部彰化醫院,
蜜蜂診所,彰化縣社頭鄉仁雅村信義三路72號,04-8720266,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院彰化醫院合作聯盟/衛生福利部彰化醫院,
春卿診所,彰化縣社頭鄉社頭村忠孝三路9號,04-8724211,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院彰化醫院合作聯盟/衛生福利部彰化醫院,
黃崇凱診所,彰化縣員林市惠來里中山南路72號,04-8318286,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院彰化醫院合作聯盟/衛生福利部彰化醫院,
彰化縣埔鹽鄉衛生所,彰化縣埔鹽鄉好修村員鹿路二段58號,04-8653596,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院彰化醫院合作聯盟/衛生福利部彰化醫院,
楊同榮診所,彰化縣溪湖鎮大竹里西環路27號,04-8850575,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院彰化醫院合作聯盟/衛生福利部彰化醫院,
鍾尚霖婦產科診所,彰化縣溪湖鎮大竹里福德路21，23號,04-8612565,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院彰化醫院合作聯盟/衛生福利部彰化醫院,
紹安診所,彰化縣溪湖鎮彰水路4段57號1樓,04-8852056,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院彰化醫院合作聯盟/衛生福利部彰化醫院,
人人診所,台中市西區林森路239號1Ｆ,04-23731208,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院臺中醫院合作聯盟/衛生福利部臺中醫院,
彰化縣伸港鄉衛生所,彰化縣伸港鄉大同村中興路2段197號,04-7982034,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院彰濱秀傳醫院合作聯盟/秀傳醫療財團法人彰濱秀傳紀念醫院,
何彰季家庭醫學科診所,彰化縣伸港鄉新港村中山東路130號,04-7985828,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院彰濱秀傳醫院合作聯盟/秀傳醫療財團法人彰濱秀傳紀念醫院,
福安診所,彰化縣伸港鄉新港村中山路16號,04-7981482,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院彰濱秀傳醫院合作聯盟/秀傳醫療財團法人彰濱秀傳紀念醫院,
黃彥文骨科診所,彰化縣伸港鄉新港村中正路20巷6號及8號,04-7998298,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院彰濱秀傳醫院合作聯盟/秀傳醫療財團法人彰濱秀傳紀念醫院,
伸港忠孝醫院,彰化縣伸港鄉新港村忠孝路30號,04-7991618,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院彰濱秀傳醫院合作聯盟/秀傳醫療財團法人彰濱秀傳紀念醫院,
許權傑診所,彰化縣伸港鄉新港村忠孝路9．11號,04-7995100,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院彰濱秀傳醫院合作聯盟/秀傳醫療財團法人彰濱秀傳紀念醫院,
芳生診所,彰化縣伸港鄉新港村新港路161號,04-7987597,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院彰濱秀傳醫院合作聯盟/秀傳醫療財團法人彰濱秀傳紀念醫院,
施宜德家庭醫學科診所,彰化縣秀水鄉埔崙村彰水路二段218號,04-7683066,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院彰濱秀傳醫院合作聯盟/秀傳醫療財團法人彰濱秀傳紀念醫院,
林全一骨科診所,彰化縣秀水鄉福安村彰水路2段515.517號,04-7685715,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院彰濱秀傳醫院合作聯盟/秀傳醫療財團法人彰濱秀傳紀念醫院,
簡瑜宏診所,彰化縣和美鎮山犁里道周路439號,04-7553799,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院彰濱秀傳醫院合作聯盟/秀傳醫療財團法人彰濱秀傳紀念醫院,
蔡盈德眼科診所,彰化縣和美鎮四張里彰美路六段195號,04-7552307,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院彰濱秀傳醫院合作聯盟/秀傳醫療財團法人彰濱秀傳紀念醫院,
和興聯合診所,彰化縣和美鎮竹營里德美路289號,04-7564567,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院彰濱秀傳醫院合作聯盟/秀傳醫療財團法人彰濱秀傳紀念醫院,
白煌銘診所,彰化縣和美鎮和北里彰美路6段116號,04-7554250,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院彰濱秀傳醫院合作聯盟/秀傳醫療財團法人彰濱秀傳紀念醫院,
曾思遠診所,彰化縣和美鎮和西里和線路85號,04-7555423,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院彰濱秀傳醫院合作聯盟/秀傳醫療財團法人彰濱秀傳紀念醫院,
謝立偉診所,彰化縣和美鎮和西里道周路720號,04-7568909,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院彰濱秀傳醫院合作聯盟/秀傳醫療財團法人彰濱秀傳紀念醫院,
林翰宏骨科診所,彰化縣和美鎮和東里彰美路5段76號、78號,04-7577158,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院彰濱秀傳醫院合作聯盟/秀傳醫療財團法人彰濱秀傳紀念醫院,
蕭國隆小兒科診所,彰化縣和美鎮和東里彰美路五段255號,04-7553021,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院彰濱秀傳醫院合作聯盟/秀傳醫療財團法人彰濱秀傳紀念醫院,
吳祥發耳鼻喉科診所,彰化縣和美鎮和東里彰美路五段277號,04-7573629,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院彰濱秀傳醫院合作聯盟/秀傳醫療財團法人彰濱秀傳紀念醫院,
佳佑小兒科診所,彰化縣和美鎮彰美路5段181號,04-7576678,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院彰濱秀傳醫院合作聯盟/秀傳醫療財團法人彰濱秀傳紀念醫院,
吳祥富內科復健科診所,彰化縣和美鎮彰美路5段215號1-2樓217號1-2樓213號1-2樓219號1樓,04-7563430,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院彰濱秀傳醫院合作聯盟/秀傳醫療財團法人彰濱秀傳紀念醫院,
康嘉診所,彰化縣鹿港鎮中山路277號,04-7755511,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院彰濱秀傳醫院合作聯盟/秀傳醫療財團法人彰濱秀傳紀念醫院,
王健龍診所,彰化縣鹿港鎮中興里中山路259號,04-7755188,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院彰濱秀傳醫院合作聯盟/秀傳醫療財團法人彰濱秀傳紀念醫院,
葉宣哲診所,彰化縣鹿港鎮中興里中山路348號,04-7764495,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院彰濱秀傳醫院合作聯盟/秀傳醫療財團法人彰濱秀傳紀念醫院,
葉騰鑫內科診所〈順泰聯合診所〉,彰化縣鹿港鎮永安里民權路57號,04-7769955,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院彰濱秀傳醫院合作聯盟/秀傳醫療財團法人彰濱秀傳紀念醫院,
豐安診所,彰化縣鹿港鎮玉順里海浴路11－1號,04-7763711,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院彰濱秀傳醫院合作聯盟/秀傳醫療財團法人彰濱秀傳紀念醫院,
黃俊熙診所,彰化縣鹿港鎮頂番里頂草路一段12號,04-7718955,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院彰濱秀傳醫院合作聯盟/秀傳醫療財團法人彰濱秀傳紀念醫院,
康合復健科診所,彰化縣鹿港鎮復興路215號,04-7747198,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院彰濱秀傳醫院合作聯盟/秀傳醫療財團法人彰濱秀傳紀念醫院,
三福診所,彰化縣福興鄉三汴村彰水路368號,04-7681024,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院彰濱秀傳醫院合作聯盟/秀傳醫療財團法人彰濱秀傳紀念醫院,
彰化縣福興鄉衛生所,彰化縣福興鄉福興村福興路51巷2號,04-7772371,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院彰濱秀傳醫院合作聯盟/秀傳醫療財團法人彰濱秀傳紀念醫院,
聖光診所,彰化縣線西鄉寓埔村中華路54號1樓,04-7587425,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院彰濱秀傳醫院合作聯盟/秀傳醫療財團法人彰濱秀傳紀念醫院,
彰化縣線西鄉衛生所,彰化縣線西鄉寓埔村和線路957巷2號,04-7585201,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院彰濱秀傳醫院合作聯盟/秀傳醫療財團法人彰濱秀傳紀念醫院,
陳嘉惠診所,彰化縣二林鎮南光里大成路1段306號,04-8960247,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院秀傳紀念醫院合作聯盟/秀傳醫療社團法人秀傳紀念醫院彰濱秀傳醫院合作聯盟/秀傳醫療財團法人彰濱秀傳紀念醫院,
宋志懿醫院,彰化縣二林鎮豐田里大成路一段51號,04-8968707,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院秀傳紀念醫院合作聯盟/秀傳醫療社團法人秀傳紀念醫院彰濱秀傳醫院合作聯盟/秀傳醫療財團法人彰濱秀傳紀念醫院,
昌明牙醫診所,彰化縣花壇鄉長沙村中正路56之20號,04-7873663,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院秀傳紀念醫院合作聯盟/秀傳醫療社團法人秀傳紀念醫院彰濱秀傳醫院合作聯盟/秀傳醫療財團法人彰濱秀傳紀念醫院,
慈元診所,彰化縣員林市中正里林森路250號,04-8378805,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院秀傳紀念醫院合作聯盟/秀傳醫療社團法人秀傳紀念醫院彰濱秀傳醫院合作聯盟/秀傳醫療財團法人彰濱秀傳紀念醫院,
道安醫院,彰化縣溪湖鎮光平里彰水路3段362號,04-8852309,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院秀傳紀念醫院合作聯盟/秀傳醫療社團法人秀傳紀念醫院彰濱秀傳醫院合作聯盟/秀傳醫療財團法人彰濱秀傳紀念醫院,
李武波診所,彰化縣彰化市中央里中華路185號,04-7277538,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院秀傳紀念醫院合作聯盟/秀傳醫療社團法人秀傳紀念醫院彰濱秀傳醫院合作聯盟/秀傳醫療財團法人彰濱秀傳紀念醫院,
信生醫院,彰化縣彰化市民生里三民路312號,04-7251191,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院秀傳紀念醫院合作聯盟/秀傳醫療社團法人秀傳紀念醫院彰濱秀傳醫院合作聯盟/秀傳醫療財團法人彰濱秀傳紀念醫院,
永安診所,彰化縣彰化市興北里三民路205、207號,04-7231995,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院秀傳紀念醫院合作聯盟/秀傳醫療社團法人秀傳紀念醫院彰濱秀傳醫院合作聯盟/秀傳醫療財團法人彰濱秀傳紀念醫院,
元莊診所,彰化縣花壇鄉花壇村花壇街185號,04-7862358,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院秀傳紀念醫院合作聯盟/秀傳醫療社團法人秀傳紀念醫院,
龍安診所,彰化縣花壇鄉長沙村學前路240、242號,04-7860151,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院秀傳紀念醫院合作聯盟/秀傳醫療社團法人秀傳紀念醫院,
盧天恩診所,彰化縣員林市中正里林森路308號,04-8339159,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院秀傳紀念醫院合作聯盟/秀傳醫療社團法人秀傳紀念醫院,
守德診所,彰化縣員林市仁美里靜修東路23號,04-8336778,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院秀傳紀念醫院合作聯盟/秀傳醫療社團法人秀傳紀念醫院,
張鴻內科診所,彰化縣員林市民生里中正路290號,04-8333678,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院秀傳紀念醫院合作聯盟/秀傳醫療社團法人秀傳紀念醫院,
張天長診所,彰化縣員林市東和里員水路二段482號,04-8324479,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院秀傳紀念醫院合作聯盟/秀傳醫療社團法人秀傳紀念醫院,
張維峰診所,彰化縣埔鹽鄉埔南村彰水路一段375號,04-8655498,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院秀傳紀念醫院合作聯盟/秀傳醫療社團法人秀傳紀念醫院,
綜祐診所,彰化縣埤頭鄉合興村彰水路3段494號,04-8911911,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院秀傳紀念醫院合作聯盟/秀傳醫療社團法人秀傳紀念醫院,
祐康診所,彰化縣埤頭鄉合興村彰水路三段492號1樓,04-8911922,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院秀傳紀念醫院合作聯盟/秀傳醫療社團法人秀傳紀念醫院,
黃國隆內科診所,臺中市大雅區民興街61號1及2樓,04-25687536,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院豐原醫院合作聯盟/衛生福利部豐原醫院澄清中港分院合作聯盟/澄清綜合醫院中港分院,
衛生福利部豐原醫院,台中市豐原區安康路100號,04-25271180,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院豐原醫院合作聯盟/衛生福利部豐原醫院臺中醫院合作聯盟/衛生福利部臺中醫院台中慈濟醫院合作聯盟/佛教慈濟醫療財團法人台中慈濟醫院澄清中港分院合作聯盟/澄清綜合醫院中港分院,
臺中市和平區衛生所,臺中市和平區南勢里東關路3段132號,04-25942781,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院豐原醫院合作聯盟/衛生福利部豐原醫院,
仁禾診所,台中市大甲區中山路一段859號1．2樓及861號1．2樓,04-26888106,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院,
順天診所,台中市大甲區順天里順天路209號,04-26868250,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院,
小林診所,台中市大肚區頂街里沙田路二段723號,04-26998489,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院,
永康牙醫診所,台中市大肚區頂街里華昌街56號,04-26984633,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院,
大肚天佑內小兒科診所,台中市大肚區福山里沙田路一段510號,04-26930035,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院,
白佳欣眼科診所,台中市北屯區三光里北屯路192–4號,04-22348222,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院,
楊醫師小兒科診所,台中市北屯區昌平路1段356之1號1樓,04-22430092,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院,
普愛眼科診所,台中市西屯區大隆路六十四號一樓,04-23286660,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院,
亞頓牙醫診所,台中市西屯區西屯路3段166之36號1．2樓,04-24659199,台中榮總合作聯盟/臺中榮民總醫院彰化基督教醫院合作聯盟/彰化基督教醫療財團法人彰化基督教醫院,
